f,Re,Im,,,
200,0.75,-4.5000,-0.0360,0.3400,-4.1600
220,0.714,-4.1600,,,
240,0.678,-3.8200,,,
260,0.642,-3.4800,,,
280,0.606,-3.1400,,,
300,0.57,-2.8000,-0.0140,0.1400,-2.6600
320,0.556,-2.6600,,,
340,0.542,-2.5200,,,
360,0.528,-2.3800,,,
380,0.514,-2.2400,,,
400,0.5,-2.1000,-0.0200,0.1000,-2.0000
420,0.48,-2.0000,,,
440,0.46,-1.9000,,,
460,0.44,-1.8000,,,
480,0.42,-1.7000,,,
500,0.4,-1.6000,0.0000,0.0700,-1.5300
520,0.4,-1.5300,,,
540,0.4,-1.4600,,,
560,0.4,-1.3900,,,
580,0.4,-1.3200,,,
600,0.4,-1.2500,0.0000,0.0600,-1.1900
620,0.4,-1.1900,,,
640,0.4,-1.1300,,,
660,0.4,-1.0700,,,
680,0.4,-1.0100,,,
700,0.4,-0.9500,0.0040,0.0440,-0.9060
720,0.404,-0.9060,,,
740,0.408,-0.8620,,,
760,0.412,-0.8180,,,
780,0.416,-0.7740,,,
800,0.42,-0.7300,0.0060,0.0400,-0.6900
820,0.426,-0.6900,,,
840,0.432,-0.6500,,,
860,0.438,-0.6100,,,
880,0.444,-0.5700,,,
900,0.45,-0.5300,0.0000,0.0360,-0.4940
920,0.45,-0.4940,,,
940,0.45,-0.4580,,,
960,0.45,-0.4220,,,
980,0.45,-0.3860,,,
1000,0.45,-0.3500,0.0100,0.0300,-0.3200
1020,0.46,-0.3200,,,
1040,0.47,-0.2900,,,
1060,0.48,-0.2600,,,
1080,0.49,-0.2300,,,
1100,0.5,-0.2000,0.0080,0.0300,-0.1700
1120,0.508,-0.1700,,,
1140,0.516,-0.1400,,,
1160,0.524,-0.1100,,,
1180,0.532,-0.0800,,,
1200,0.54,-0.0500,0.0080,0.0300,-0.0200
1220,0.548,-0.0200,,,
1240,0.556,0.0100,,,
1260,0.564,0.0400,,,
1280,0.572,0.0700,,,
1300,0.58,0.1000,0.0040,0.0300,0.1300
1320,0.584,0.1300,,,
1340,0.588,0.1600,,,
1360,0.592,0.1900,,,
1380,0.596,0.2200,,,
1400,0.6,0.2500,0.0200,0.0300,0.2800
1420,0.62,0.2800,,,
1440,0.64,0.3100,,,
1460,0.66,0.3400,,,
1480,0.68,0.3700,,,
1500,0.7,0.4000,0.0200,0.0200,0.4200
1520,0.72,0.4200,,,
1540,0.74,0.4400,,,
1560,0.76,0.4600,,,
1580,0.78,0.4800,,,
1600,0.8,0.5000,-0.1600,-0.1000,
