f,Re,Im,,,,,,,,,,,,,,,
200,0.75,-2.9000,,,,,,,,,,,,,,,
220,0.75,-2.7000,,,,,,,,,,,,,,,
240,0.75,-2.5000,,,,,,,,,,,,,,,
260,0.75,-2.3000,,,,,,,,,,,,,,,
280,0.75,-2.1000,,,,,,,,,,,,,,,
300,0.75,-1.9000,,,,,,,,,,,,,,,
320,0.75,-1.7900,,,,,,,,,,,,,,,
340,0.75,-1.6800,,,,,,,,,,,,,,,
360,0.75,-1.5700,,,,,,,,,,,,,,,
380,0.75,-1.4600,,,,,,,,,,,,,,,0.012
400,0.75,-1.3500,,,,,,,,,,,,,,,
420,0.75,-1.2700,,,,,,,,,,,,,,,
440,0.75,-1.1900,,,,,,,,,,,,,,,
460,0.75,-1.1100,,,,,,,,,,,,,,,
480,0.75,-1.0300,,,,,,,,,,,,,,,
500,0.75,-0.9500,,,,,,,,,,,,,,,
520,0.752,-0.8900,,,,,,,,,,,,,,,
540,0.754,-0.8300,,,,,,,,,,,,,,,
560,0.756,-0.7700,,,,,,,,,,,,,,,
580,0.758,-0.7100,,,,,,,,,,,,,,,
600,0.76,-0.6500,,,,,,,,,,,,,,,
620,0.768,-0.6000,,,,,,,,,,,,,,,
640,0.776,-0.5500,,,,,,,,,,,,,,,
660,0.784,-0.5000,,,,,,,,,,,,,,,
680,0.792,-0.4500,,,,,,,,,,,,,,,
700,0.8,-0.4000,,,,,,,,,,,,,,,
720,0.82,-0.3600,,,,,,,,,,,,,,,
740,0.84,-0.3200,,,,,,,,,,,,,,,
760,0.86,-0.2800,,,,,,,,,,,,,,,
780,0.88,-0.2400,,,,,,,,,,,,,,,
800,0.9,-0.2000,,,,,,,,,,,,,,,
820,0.92,-0.1700,,,,,,,,,,,,,,,
840,0.94,-0.1400,,,,,,,,,,,,,,,
860,0.96,-0.1100,,,,,,,,,,,,,,,
880,0.98,-0.0800,,,,,,,,,,,,,,,
900,1,-0.0500,,,,,,,,,,,,,,,
920,1.025,-0.0250,,,,,,,,,,,,,,,
940,1.05,0.0000,,,,,,,,,,,,,,,
960,1.075,0.0250,,,,,,,,,,,,,,,
980,1.1,0.0500,,,,,,,,,,,,,,,
1000,1.125,0.0500,,,,,,,,,,,,,,,
1020,1.15,0.0500,,,,,,,,,,,,,,,
1040,1.175,0.0500,,,,,,,,,,,,,,,
1060,1.2,0.0500,,,,,,,,,,,,,,,
1080,1.225,0.0500,,,,,,,,,,,,,,,
1100,1.25,0.0500,,,,,,,,,,,,,,,
1120,1.24,0.0500,,,,,,,,,,,,,,,
1140,1.23,0.0500,,,,,,,,,,,,,,,
1160,1.22,0.0500,,,,,,,,,,,,,,,
1180,1.21,0.0500,,,,,,,,,,,,,,,
1200,1.2,0.0500,,,,,,,,,,,,,,,
1220,1.19,0.0500,,,,,,,,,,,,,,,
1240,1.18,0.1000,,,,,,,,,,,,,,,
1260,1.17,0.1660,,,,,,,,,,,,,,,
1280,1.16,0.2330,,,,,,,,,,,,,,,
1300,1.15,0.3100,,,,,,,,,,,,,,,
1320,1.22,0.3670,,,,,,,,,,,,,,,
1340,1.29,0.4340,,,,,,,,,,,,,,,
1360,1.36,0.5000,,,,,,,,,,,,,,,
1380,1.43,0.5400,,,,,,,,,,,,,,,
1400,1.5,0.5500,,,,,,,,,,,,,,,
1420,1.57,0.5500,,,,,,,,,,,,,,,
1440,1.64,0.5500,,,,,,,,,,,,,,,
1460,1.71,0.5200,,,,,,,,,,,,,,,
1480,1.78,0.5100,,,,,,,,,,,,,,,
1500,1.85,0.5000,,,,,,,,,,,,,,,
1520,1.92,0.4600,,,,,,,,,,,,,,,
1540,1.99,0.4200,,,,,,,,,,,,,,,
1560,2.06,0.3800,,,,,,,,,,,,,,,
1580,2.13,0.3400,,,,,,,,,,,,,,,
1600,2.2,0.3000,,,,,,,,,,,,,,,
